path,x,y,zoom,col
aachen_000000_000019_leftImg8bit.png,794,431,0.5,g
aachen_000000_000019_leftImg8bit.png,1836,175,0.25,g
aachen_000001_000019_leftImg8bit.png,764,452,1,g
aachen_000001_000019_leftImg8bit.png,731,454,0.5,g
aachen_000001_000019_leftImg8bit.png,1252,358,0.125,g
aachen_000001_000019_leftImg8bit.png,1135,403,0.125,g
aachen_000002_000019_leftImg8bit.png,1125,379,0.125,r
aachen_000002_000019_leftImg8bit.png,1170,421,0.125,r
aachen_000002_000019_leftImg8bit.png,1024,445,0.125,r
aachen_000002_000019_leftImg8bit.png,1054,445,0.25,r
aachen_000002_000019_leftImg8bit.png,1072,446,0.125,r
aachen_000002_000019_leftImg8bit.png,1203,192,0.125,r
aachen_000002_000019_leftImg8bit.png,1100,446,0.125,r
aachen_000002_000019_leftImg8bit.png,69,108,0.25,g
aachen_000002_000019_leftImg8bit.png,1230,153,0.125,g
aachen_000002_000019_leftImg8bit.png,1221,151,0.125,g
aachen_000002_000019_leftImg8bit.png,1278,99,0.125,g
aachen_000002_000019_leftImg8bit.png,1192,205,0.125,g
aachen_000002_000019_leftImg8bit.png,1125,446,0.125,g
aachen_000002_000019_leftImg8bit.png,381,11,0.125,g
aachen_000002_000019_leftImg8bit.png,68,93,0.125,g
aachen_000003_000019_leftImg8bit.png,1142,470,0.25,r
aachen_000004_000019_leftImg8bit.png,1995,282,1,g
aachen_000005_000019_leftImg8bit.png,654,457,0.5,r
aachen_000005_000019_leftImg8bit.png,905,458,0.25,r
aachen_000005_000019_leftImg8bit.png,966,459,0.25,r
aachen_000005_000019_leftImg8bit.png,1137,447,0.125,r
aachen_000005_000019_leftImg8bit.png,484,472,1,g
aachen_000006_000019_leftImg8bit.png,907,434,0.125,r
aachen_000006_000019_leftImg8bit.png,957,433,0.125,r
aachen_000006_000019_leftImg8bit.png,895,191,0.25,g
aachen_000006_000019_leftImg8bit.png,814,77,0.125,g
aachen_000006_000019_leftImg8bit.png,1028,359,0.125,g
aachen_000008_000019_leftImg8bit.png,646,499,0.25,r
aachen_000008_000019_leftImg8bit.png,1006,269,0.25,r
aachen_000008_000019_leftImg8bit.png,637,367,0.125,g
aachen_000010_000019_leftImg8bit.png,1124,368,0.125,r
aachen_000010_000019_leftImg8bit.png,663,469,1,r
aachen_000010_000019_leftImg8bit.png,1653,117,0.125,r
aachen_000010_000019_leftImg8bit.png,1378,363,0.125,g
aachen_000011_000019_leftImg8bit.png,779,294,0.25,r
aachen_000011_000019_leftImg8bit.png,1203,485,0.25,r
aachen_000011_000019_leftImg8bit.png,394,498,0.125,r
aachen_000011_000019_leftImg8bit.png,484,419,0.125,g
aachen_000011_000019_leftImg8bit.png,863,311,0.25,g
aachen_000011_000019_leftImg8bit.png,229,459,0.125,g
aachen_000011_000019_leftImg8bit.png,987,420,0.125,g
aachen_000012_000019_leftImg8bit.png,955,425,0.25,r
aachen_000012_000019_leftImg8bit.png,1025,442,0.5,r
aachen_000012_000019_leftImg8bit.png,1108,443,0.5,r
aachen_000012_000019_leftImg8bit.png,983,427,0.25,r
aachen_000012_000019_leftImg8bit.png,751,434,0.125,r
aachen_000012_000019_leftImg8bit.png,548,498,1,g
aachen_000012_000019_leftImg8bit.png,836,376,0.125,g
aachen_000012_000019_leftImg8bit.png,1101,326,0.125,g
aachen_000013_000019_leftImg8bit.png,1165,139,0.5,r
aachen_000013_000019_leftImg8bit.png,153,300,0.125,r
aachen_000013_000019_leftImg8bit.png,192,300,0.125,r
aachen_000013_000019_leftImg8bit.png,1082,370,0.25,r
aachen_000013_000019_leftImg8bit.png,174,309,0.25,r
aachen_000013_000019_leftImg8bit.png,215,303,0.125,r
aachen_000013_000019_leftImg8bit.png,204,304,0.125,r
aachen_000013_000019_leftImg8bit.png,225,307,0.125,r
aachen_000013_000019_leftImg8bit.png,246,309,0.125,r
aachen_000013_000019_leftImg8bit.png,195,309,0.125,r
aachen_000013_000019_leftImg8bit.png,281,313,0.125,r
aachen_000013_000019_leftImg8bit.png,1400,366,0.125,r
aachen_000013_000019_leftImg8bit.png,1557,4,0.25,g
aachen_000013_000019_leftImg8bit.png,1665,50,0.25,g
aachen_000013_000019_leftImg8bit.png,1629,159,0.25,g
aachen_000013_000019_leftImg8bit.png,1683,102,0.125,g
aachen_000013_000019_leftImg8bit.png,1638,120,0.25,g
aachen_000013_000019_leftImg8bit.png,1526,15,0.125,g
aachen_000013_000019_leftImg8bit.png,1260,125,0.125,g
aachen_000013_000019_leftImg8bit.png,1352,26,0.25,g
aachen_000014_000019_leftImg8bit.png,1649,499,0.25,r
aachen_000014_000019_leftImg8bit.png,1206,6,0.125,g
aachen_000015_000019_leftImg8bit.png,197,257,0.5,r
aachen_000015_000019_leftImg8bit.png,1962,312,0.125,r
aachen_000015_000019_leftImg8bit.png,1281,254,0.5,r
aachen_000015_000019_leftImg8bit.png,855,306,0.125,r
aachen_000015_000019_leftImg8bit.png,1975,313,0.125,r
aachen_000016_000019_leftImg8bit.png,931,454,0.25,r
aachen_000016_000019_leftImg8bit.png,1022,450,0.25,r
aachen_000016_000019_leftImg8bit.png,106,318,0.5,g
aachen_000016_000019_leftImg8bit.png,1263,289,0.5,g
aachen_000016_000019_leftImg8bit.png,1148,143,0.5,g
aachen_000016_000019_leftImg8bit.png,603,400,0.125,g
aachen_000017_000019_leftImg8bit.png,32,103,0.5,g
aachen_000017_000019_leftImg8bit.png,33,46,0.125,g
aachen_000017_000019_leftImg8bit.png,1166,4,0.25,g
aachen_000019_000019_leftImg8bit.png,1625,56,1,g
aachen_000021_000019_leftImg8bit.png,886,395,0.125,r
aachen_000021_000019_leftImg8bit.png,367,257,0.125,g
aachen_000022_000019_leftImg8bit.png,1122,396,0.125,r
aachen_000023_000019_leftImg8bit.png,1857,38,0.25,r
aachen_000023_000019_leftImg8bit.png,1951,301,0.125,r
aachen_000025_000019_leftImg8bit.png,1756,452,0.5,r
aachen_000025_000019_leftImg8bit.png,1654,256,0.25,r
aachen_000025_000019_leftImg8bit.png,1621,450,0.25,r
aachen_000025_000019_leftImg8bit.png,1699,438,0.25,r
aachen_000025_000019_leftImg8bit.png,1378,370,0.25,r
aachen_000025_000019_leftImg8bit.png,1878,400,0.125,g
aachen_000026_000019_leftImg8bit.png,935,301,0.125,r
aachen_000026_000019_leftImg8bit.png,1290,189,0.125,r
aachen_000026_000019_leftImg8bit.png,1180,429,0.125,r
aachen_000026_000019_leftImg8bit.png,1160,428,0.125,r
aachen_000026_000019_leftImg8bit.png,1015,87,0.125,r
aachen_000026_000019_leftImg8bit.png,1196,295,0.25,r
aachen_000026_000019_leftImg8bit.png,946,26,0.125,g
aachen_000026_000019_leftImg8bit.png,1043,95,0.125,g
aachen_000026_000019_leftImg8bit.png,1227,19,0.25,g
aachen_000026_000019_leftImg8bit.png,993,22,0.125,g
aachen_000026_000019_leftImg8bit.png,1001,92,0.125,g
aachen_000026_000019_leftImg8bit.png,1534,23,0.125,g
aachen_000026_000019_leftImg8bit.png,901,121,0.125,g
aachen_000026_000019_leftImg8bit.png,1284,132,0.125,g
