seq,is_true,is_ignore,path,x0,x1,y0,y1,col
0,FALSE,FALSE,aachen_000000_000019_leftImg8bit_gF_0.png,778,810,367,463,g
1,FALSE,FALSE,aachen_000000_000019_leftImg8bit_gF_1.png,1820,1852,111,207,g
0,FALSE,FALSE,aachen_000001_000019_leftImg8bit_gF_2.png,748,780,388,484,g
1,FALSE,FALSE,aachen_000001_000019_leftImg8bit_gF_3.png,715,747,390,486,g
2,TRUE,FALSE,aachen_000001_000019_leftImg8bit_gT_4.png,1236,1268,294,390,g
3,TRUE,FALSE,aachen_000001_000019_leftImg8bit_gT_5.png,1119,1151,339,435,g
0,TRUE,FALSE,aachen_000002_000019_leftImg8bit_rT_6.png,1109,1141,347,443,r
1,TRUE,FALSE,aachen_000002_000019_leftImg8bit_rT_7.png,1154,1186,389,485,r
2,FALSE,FALSE,aachen_000002_000019_leftImg8bit_rF_8.png,1008,1040,413,509,r
3,FALSE,FALSE,aachen_000002_000019_leftImg8bit_rF_9.png,1038,1070,413,509,r
4,FALSE,FALSE,aachen_000002_000019_leftImg8bit_rF_10.png,1056,1088,414,510,r
5,FALSE,FALSE,aachen_000002_000019_leftImg8bit_rF_11.png,1187,1219,160,256,r
6,FALSE,FALSE,aachen_000002_000019_leftImg8bit_rF_12.png,1084,1116,414,510,r
7,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_13.png,53,85,44,140,g
8,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_14.png,1214,1246,89,185,g
9,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_15.png,1205,1237,87,183,g
10,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_16.png,1262,1294,35,131,g
11,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_17.png,1176,1208,141,237,g
12,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_18.png,1109,1141,382,478,g
13,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_19.png,365,397,-53,43,g
14,FALSE,FALSE,aachen_000002_000019_leftImg8bit_gF_20.png,52,84,29,125,g
0,FALSE,FALSE,aachen_000003_000019_leftImg8bit_rF_21.png,1126,1158,438,534,r
0,FALSE,FALSE,aachen_000004_000019_leftImg8bit_gF_22.png,1979,2011,218,314,g
0,FALSE,FALSE,aachen_000005_000019_leftImg8bit_rF_23.png,638,670,425,521,r
1,FALSE,FALSE,aachen_000005_000019_leftImg8bit_rF_24.png,889,921,426,522,r
2,FALSE,FALSE,aachen_000005_000019_leftImg8bit_rF_25.png,950,982,427,523,r
3,FALSE,FALSE,aachen_000005_000019_leftImg8bit_rF_26.png,1121,1153,415,511,r
4,FALSE,FALSE,aachen_000005_000019_leftImg8bit_gF_27.png,468,500,408,504,g
0,FALSE,FALSE,aachen_000006_000019_leftImg8bit_rF_28.png,891,923,402,498,r
1,FALSE,FALSE,aachen_000006_000019_leftImg8bit_rF_29.png,941,973,401,497,r
2,FALSE,FALSE,aachen_000006_000019_leftImg8bit_gF_30.png,879,911,127,223,g
3,FALSE,FALSE,aachen_000006_000019_leftImg8bit_gF_31.png,798,830,13,109,g
4,TRUE,FALSE,aachen_000006_000019_leftImg8bit_gT_32.png,1012,1044,295,391,g
0,FALSE,FALSE,aachen_000008_000019_leftImg8bit_rF_33.png,630,662,467,563,r
1,TRUE,FALSE,aachen_000008_000019_leftImg8bit_rT_34.png,990,1022,237,333,r
2,TRUE,FALSE,aachen_000008_000019_leftImg8bit_gT_35.png,621,653,303,399,g
0,FALSE,FALSE,aachen_000010_000019_leftImg8bit_rF_36.png,1108,1140,336,432,r
1,FALSE,FALSE,aachen_000010_000019_leftImg8bit_rF_37.png,647,679,437,533,r
2,FALSE,FALSE,aachen_000010_000019_leftImg8bit_rF_38.png,1637,1669,85,181,r
3,FALSE,FALSE,aachen_000010_000019_leftImg8bit_gF_39.png,1362,1394,299,395,g
0,TRUE,FALSE,aachen_000011_000019_leftImg8bit_rT_40.png,763,795,262,358,r
1,FALSE,FALSE,aachen_000011_000019_leftImg8bit_rF_41.png,1187,1219,453,549,r
