seq_imag,name,imag_path,gtim_path,json_path,train_test_val
0,aachen_000001_000019,fullImages\aachen_000001_000019_leftImg8bit.png,fullImages\aachen_000001_000019_gtFine_labelIds.png,fullImages\aachen_000001_000019_gtFine_polygons.json,train
1,aachen_000004_000019,fullImages\aachen_000004_000019_leftImg8bit.png,fullImages\aachen_000004_000019_gtFine_labelIds.png,fullImages\aachen_000004_000019_gtFine_polygons.json,train
2,aachen_000009_000019,fullImages\aachen_000009_000019_leftImg8bit.png,fullImages\aachen_000009_000019_gtFine_labelIds.png,fullImages\aachen_000009_000019_gtFine_polygons.json,train
3,aachen_000010_000019,fullImages\aachen_000010_000019_leftImg8bit.png,fullImages\aachen_000010_000019_gtFine_labelIds.png,fullImages\aachen_000010_000019_gtFine_polygons.json,train
4,aachen_000013_000019,fullImages\aachen_000013_000019_leftImg8bit.png,fullImages\aachen_000013_000019_gtFine_labelIds.png,fullImages\aachen_000013_000019_gtFine_polygons.json,train
5,aachen_000014_000019,fullImages\aachen_000014_000019_leftImg8bit.png,fullImages\aachen_000014_000019_gtFine_labelIds.png,fullImages\aachen_000014_000019_gtFine_polygons.json,train
6,aachen_000031_000019,fullImages\aachen_000031_000019_leftImg8bit.png,fullImages\aachen_000031_000019_gtFine_labelIds.png,fullImages\aachen_000031_000019_gtFine_polygons.json,train
7,aachen_000035_000019,fullImages\aachen_000035_000019_leftImg8bit.png,fullImages\aachen_000035_000019_gtFine_labelIds.png,fullImages\aachen_000035_000019_gtFine_polygons.json,test
8,aachen_000044_000019,fullImages\aachen_000044_000019_leftImg8bit.png,fullImages\aachen_000044_000019_gtFine_labelIds.png,fullImages\aachen_000044_000019_gtFine_polygons.json,validation
9,aachen_000045_000019,fullImages\aachen_000045_000019_leftImg8bit.png,fullImages\aachen_000045_000019_gtFine_labelIds.png,fullImages\aachen_000045_000019_gtFine_polygons.json,train
10,aachen_000046_000019,fullImages\aachen_000046_000019_leftImg8bit.png,fullImages\aachen_000046_000019_gtFine_labelIds.png,fullImages\aachen_000046_000019_gtFine_polygons.json,train
